,name,normal_assignment,assignment,state_var_normal_assignment,state_var_assign,if,loop,var_definition,emit,guarantee,function_call,rhs_msgsender,owner_is_msgsender,lhs_balance_assign,lhs_balance_owner_assign,is_constructor,visibility,modifier_names,is_called
1956,totalSupply,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,public,[],False
1957,balanceOf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,public,[],False
1958,allowance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,public,[],False
1959,transfer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,public,[],False
1960,transferFrom,3,3,2,2,1,0,0,1,0,0,0,0,2,0,False,public,[],False
1961,approve,1,1,0,0,0,0,0,1,0,0,0,0,0,0,False,public,[],False
1962,increaseAllowance,1,1,0,0,0,0,0,1,1,0,0,0,0,0,False,public,[],False
1963,decreaseAllowance,1,1,0,0,0,0,0,1,1,0,0,0,0,0,False,public,[],False
1964,stop,1,1,1,1,0,0,0,0,0,0,0,0,0,0,False,public,"['auth', 'note']",False
1965,start,1,1,1,1,0,0,0,0,0,0,0,0,0,0,False,public,"['auth', 'note']",False
1966,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,True,public,['DSTokenBase'],False
1967,isAdmin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,public,[],False
1968,renounceOwnership,1,1,1,1,0,0,0,0,0,0,0,0,0,0,False,public,['onlyAdmin'],False
1969,approve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,public,['stoppable'],False
1970,approve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,public,['stoppable'],False
1971,transferFrom,3,3,0,0,1,0,0,1,0,0,0,0,2,0,False,public,['stoppable'],False
1972,burnfromAdmin,2,2,0,0,0,0,0,2,1,0,0,0,1,0,False,public,['onlyAdmin'],False
1973,owned,1,1,1,1,0,0,0,0,0,0,1,1,0,0,True,public,[],False
1974,transferOwnership,1,1,1,1,0,0,0,0,0,0,0,0,0,0,False,public,['onlyOwner'],False
1975,receiveApproval,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,external,[],False
1976,TokenERC20,4,4,4,4,0,0,0,0,0,0,0,0,1,1,True,public,[],False
1977,_transfer,0,2,0,2,0,0,0,1,4,0,0,0,0,0,False,internal,[],False
1978,transfer,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False,public,[],False
1979,transferFrom,0,1,0,0,0,0,0,0,1,1,0,0,0,0,False,public,[],False
1980,approve,1,1,0,0,0,0,0,0,0,0,0,0,0,0,False,public,[],False
1981,approveAndCall,0,0,0,0,1,0,0,0,0,0,0,0,0,0,False,public,[],False
1982,burn,0,2,0,2,0,0,0,1,1,0,0,0,0,0,False,public,[],False
1983,burnFrom,0,3,0,2,0,0,0,1,2,0,0,0,0,0,False,public,[],False
1984,GoodfieldNewRetail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,public,['TokenERC20'],False
1985,_transfer,0,2,0,0,0,0,0,1,5,0,0,0,0,0,False,internal,[],False
1986,freezeAccount,1,1,1,1,0,0,0,1,0,0,0,0,0,0,False,public,['onlyOwner'],False
1987,setPrices,2,2,2,2,0,0,0,0,0,0,0,0,0,0,False,public,['onlyOwner'],False
1988,buy,1,3,0,0,0,0,0,1,1,0,0,0,0,0,False,public,[],False
1989,sell,1,3,0,0,0,0,0,1,1,0,0,0,0,0,False,public,[],False
1990,name,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,public,[],False
1991,symbol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,public,[],False
1992,decimals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,public,[],False
1993,totalSupply,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,public,[],False
1994,balanceOf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,public,[],False
1995,transfer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,public,[],False
1996,transferFrom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,public,[],False
1997,approve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,public,[],False
1998,allowance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,public,[],False
1999,receiveApproval,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,public,[],False
2000,tokenFallback,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,public,[],False
2001,transfer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,public,[],False
2002,transfer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,public,[],False
2003,NGToken,1,1,1,1,0,0,0,0,0,0,0,0,1,1,True,public,[],False
